cost,output,lprice,cprice,fprice
35.5303,6770,7798.2598,67.57,29.825001
25.1686,6779,7826.9302,74.199997,20.278999
24.356501,6793,6336.8799,70.294998,18.5909
33.017502,6837,7310.1499,69.794998,28.4405
40.528099,6891,6769.5498,74.120003,35.965099
42.2514,7320,5879.5098,92.063004,39.2104
33.881401,7382,7512.7202,72.362,25.900101
31.2922,7484,8063.73,67.68,23.526699
27.0832,7896,7119.96,74.513,20.110001
32.584,7930,7119.0098,48.997002,22.837999
42.411701,8650,7146.6699,72.967003,27.869301
52.763401,9145,10373.5,81.75,35.8083
41.179798,9275,8657.5303,76.139999,24.5804
47.386398,9530,7624.5698,83.879997,31.5825
30.167801,9602,7054.1802,59.977001,20.201
28.7861,9660,6686.73,79.542,20.263
57.7267,10004,6472.8599,76.300003,28.0959
38.847198,10057,6035.9502,81.578003,25.823999
31.9884,10149,6437.9199,73.139999,18.5343
51.741501,10361,9578.6299,68.015999,28.1423
55.176399,10855,8061.96,71.489998,31.760099
48.112499,11114,8413.8604,69.974998,22.5536
76.2528,11667,10436.3,80.660004,46.070099
66.103203,11837,8709.4297,75.378998,31.3321
68.480003,12542,8142.8398,80.385002,35.7882
79.070503,12706,9282.5098,70.852997,37.2477
72.0355,12724,8037.8398,74.025002,37.517399
45.182701,12936,8320.0596,65.760002,22.033001
41.9016,12954,6460.6401,62.330002,21.754999
77.884903,13702,7113.79,70.849998,34.961601
97.385902,13846,7786.3701,88.540001,44.157101
80.359299,16311,7282.6099,81.550003,40.9692
79.620697,16508,9404.9697,78.043999,42.208599
78.702797,17132,8160.7998,78.899002,25.5378
90.716797,17280,9191.4697,72.967003,36.881599
58.115398,17875,6288.4102,73.394997,20.619101
107.978,18455,6690.23,76.300003,32.965401
134.228,19445,9829.3203,67.580002,38.8027
90.371803,21956,7954.4702,83.337997,22.911501
113.256,22522,9500.7803,76.732002,25.0289
111.886,23217,6873.73,83.879997,33.394402
125.336,24001,8047.3501,74.372002,33.093201
146.989,25147,9900.7598,75.724998,33.474201
183.23199,27118,9914.3604,78.480003,41.757801
87.101501,27708,6378.23,63.599998,20.299999
240.51401,29613,9312.9297,81.75,41.887199
191.563,30958,9810.0996,69.541,36.307598
168.37801,34212,5683.8301,80.385002,40.528599
169.235,38343,9117.1602,65.991997,31.589701
269.77301,46870,9761.3799,69.541,33.199902
282.24799,48240,9673.3799,70.769997,36.509998
282.94,53760,9619.9004,73.459999,34.639999
240.48599,53918,6068.8701,78.379997,31.1954
277.29599,72247,7419.9199,56.300999,25.0914
